controller,unified,endpoint,route,verb,legacyService,unifiedService,requestLegacy,responseLegacy,statusCodes,authorization,classification
ObjectiveTypesController,UnifiedObjectiveTypesController,GetById,api/objectivetypes/{id:int},GET,ICatalogCrudService<TEntity>.GetByIdAsync,IUnifiedCatalogCrudService<TEntity>.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ObjectiveTypesController,UnifiedObjectiveTypesController,Create,api/objectivetypes,POST,ICatalogCrudService<TEntity>.CreateAsync,IUnifiedCatalogCrudService<TEntity>.CreateAsync,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ObjectiveTypesController,UnifiedObjectiveTypesController,Update,api/objectivetypes/{id:int},PUT,ICatalogCrudService<TEntity>.UpdateAsync,IUnifiedCatalogCrudService<TEntity>.UpdateAsync,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ObjectiveTypesController,UnifiedObjectiveTypesController,Delete,api/objectivetypes/{id:int},DELETE,ICatalogCrudService<TEntity>.DeleteAsync,IUnifiedCatalogCrudService<TEntity>.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProductAttributeDefinitionsController,UnifiedProductAttributeDefinitionsController,GetByProductType,api/productattributedefinitions/by-product-type/{productTypeId:int},GET,IProductAttributeDefinitionService.ListByProductTypeAsync,IUnifiedProductAttributeDefinitionService.ListByProductTypeAsync,Int32 productTypeId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProductAttributeDefinitionListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributeDefinitionsController,UnifiedProductAttributeDefinitionsController,GetById,api/productattributedefinitions/{id:int},GET,IProductAttributeDefinitionService.GetByIdAsync,IUnifiedProductAttributeDefinitionService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDefinitionDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributeDefinitionsController,UnifiedProductAttributeDefinitionsController,Create,api/productattributedefinitions,POST,IProductAttributeDefinitionService.CreateAsync,IUnifiedProductAttributeDefinitionService.CreateAsync,AddProductAttributeDefinitionRequestDTO dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDefinitionDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributeDefinitionsController,UnifiedProductAttributeDefinitionsController,Update,api/productattributedefinitions/{id:int},PUT,IProductAttributeDefinitionService.UpdateAsync,IUnifiedProductAttributeDefinitionService.UpdateAsync,Int32 id default= ;UpdateProductAttributeDefinitionRequestDTO dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDefinitionDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributeDefinitionsController,UnifiedProductAttributeDefinitionsController,Delete,api/productattributedefinitions/{id:int},DELETE,IProductAttributeDefinitionService.DeleteAsync,IUnifiedProductAttributeDefinitionService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<Boolean>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributesController,UnifiedProductAttributesController,GetAll,api/productattributes,GET,IProductAttributeService.ListAsync,IUnifiedProductAttributeService.ListAsync,Boolean onlyActives default= [Microsoft.AspNetCore.Mvc.FromQueryAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProductAttributeListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributesController,UnifiedProductAttributesController,GetById,api/productattributes/{id:int},GET,IProductAttributeService.GetByIdAsync,IUnifiedProductAttributeService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributesController,UnifiedProductAttributesController,Create,api/productattributes,POST,IProductAttributeService.CreateAsync,IUnifiedProductAttributeService.CreateAsync,AddProductAttributeRequestDTO dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributesController,UnifiedProductAttributesController,Update,api/productattributes/{id:int},PUT,IProductAttributeService.UpdateAsync,IUnifiedProductAttributeService.UpdateAsync,Int32 id default= ;UpdateProductAttributeRequestDTO dto default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductAttributeDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductAttributesController,UnifiedProductAttributesController,Delete,api/productattributes/{id:int},DELETE,IProductAttributeService.DeleteAsync,IUnifiedProductAttributeService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductsController,UnifiedProductsController,GetAll,api/products,GET,IProductService.ListAsync,IUnifiedProductService.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProductListItemResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",ADAPTABLE
ProductsController,UnifiedProductsController,GetById,api/products/{id:int},GET,IProductService.GetByIdAsync,IUnifiedProductService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",ADAPTABLE
ProductsController,UnifiedProductsController,GetByProject,api/products/by-project/{projectId:int},GET,IProductService.ListByProjectAsync,IUnifiedProductService.ListByProjectAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProductListItemResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",ADAPTABLE
ProductsController,UnifiedProductsController,Create,api/products,POST,IProductService.CreateAsync,IUnifiedProductService.CreateAsync,ProductCreateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",ADAPTABLE
ProductsController,UnifiedProductsController,Update,api/products/{id:int},PUT,IProductService.UpdateAsync,IUnifiedProductService.UpdateAsync,Int32 id default= ;ProductUpdateRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",ADAPTABLE
ProductsController,UnifiedProductsController,Delete,api/products/{id:int},DELETE,IProductService.DeleteAsync,IUnifiedProductService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductTypeDesignController,UnifiedProductTypeDesignController,Get,api/producttypedesign,GET,IProductTypeDesignService.GetDesignAsync,IUnifiedProductTypeDesignService.GetDesignAsync,Nullable<Int32> productTypeId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductTypeDesignDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductTypeDesignController,UnifiedProductTypeDesignController,Get,api/producttypedesign/{productTypeId:int},GET,IProductTypeDesignService.GetDesignAsync,IUnifiedProductTypeDesignService.GetDesignAsync,Nullable<Int32> productTypeId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductTypeDesignDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductTypeDesignController,UnifiedProductTypeDesignController,Save,api/producttypedesign,POST,IProductTypeDesignService.SaveDesignAsync,IUnifiedProductTypeDesignService.SaveDesignAsync,SaveProductTypeDesignRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProductTypeDesignDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProductTypesController,UnifiedProductTypesController,List,api/producttypes,GET,ICatalogCrudService<TEntity>.ListAsync,IUnifiedCatalogCrudService<TEntity>.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CatalogListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProductTypesController,UnifiedProductTypesController,GetById,api/producttypes/{id:int},GET,ICatalogCrudService<TEntity>.GetByIdAsync,IUnifiedCatalogCrudService<TEntity>.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProductTypesController,UnifiedProductTypesController,Create,api/producttypes,POST,ICatalogCrudService<TEntity>.CreateAsync,IUnifiedCatalogCrudService<TEntity>.CreateAsync,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProductTypesController,UnifiedProductTypesController,Update,api/producttypes/{id:int},PUT,ICatalogCrudService<TEntity>.UpdateAsync,IUnifiedCatalogCrudService<TEntity>.UpdateAsync,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProductTypesController,UnifiedProductTypesController,Delete,api/producttypes/{id:int},DELETE,ICatalogCrudService<TEntity>.DeleteAsync,IUnifiedCatalogCrudService<TEntity>.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectExtensionsController,UnifiedProjectExtensionsController,GetAll,api/projectextensions,GET,IProjectExtensionService.ListAsync,IUnifiedProjectExtensionService.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectExtensionListResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionsController,UnifiedProjectExtensionsController,GetById,api/projectextensions/{id:int},GET,IProjectExtensionService.GetByIdAsync,IUnifiedProjectExtensionService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectExtensionListResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionsController,UnifiedProjectExtensionsController,GetByProject,api/projectextensions/by-project/{projectId:int},GET,IProjectExtensionService.ListByProjectAsync,IUnifiedProjectExtensionService.ListByProjectAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectExtensionListResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionsController,UnifiedProjectExtensionsController,Create,api/projectextensions,POST,IProjectExtensionService.CreateAsync,IUnifiedProjectExtensionService.CreateAsync,AddProjectExtensionRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectExtensionListResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionsController,UnifiedProjectExtensionsController,Update,api/projectextensions/{id:int},PUT,IProjectExtensionService.UpdateAsync,IUnifiedProjectExtensionService.UpdateAsync,Int32 id default= ;UpdateProjectExtensionRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectExtensionListResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionsController,UnifiedProjectExtensionsController,Delete,api/projectextensions/{id:int},DELETE,IProjectExtensionService.DeleteAsync,IUnifiedProjectExtensionService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectExtensionTypesController,UnifiedProjectExtensionTypesController,List,api/projectextensiontypes,GET,ICatalogCrudService<TEntity>.ListAsync,IUnifiedCatalogCrudService<TEntity>.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CatalogListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectExtensionTypesController,UnifiedProjectExtensionTypesController,GetById,api/projectextensiontypes/{id:int},GET,ICatalogCrudService<TEntity>.GetByIdAsync,IUnifiedCatalogCrudService<TEntity>.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectExtensionTypesController,UnifiedProjectExtensionTypesController,Create,api/projectextensiontypes,POST,ICatalogCrudService<TEntity>.CreateAsync,IUnifiedCatalogCrudService<TEntity>.CreateAsync,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectExtensionTypesController,UnifiedProjectExtensionTypesController,Update,api/projectextensiontypes/{id:int},PUT,ICatalogCrudService<TEntity>.UpdateAsync,IUnifiedCatalogCrudService<TEntity>.UpdateAsync,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectExtensionTypesController,UnifiedProjectExtensionTypesController,Delete,api/projectextensiontypes/{id:int},DELETE,ICatalogCrudService<TEntity>.DeleteAsync,IUnifiedCatalogCrudService<TEntity>.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectMatrixController,UnifiedProjectMatrixController,UploadAsync,api/matrix/projects/upload,POST,IProjectMatrixService.UploadAsync,IUnifiedProjectMatrixService.UploadAsync,IFormFile file default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectMatrixUploadSummaryDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectMatrixController,UnifiedProjectMatrixController,GetFlatReport,api/matrix/projects/flat,GET,IProjectFlatReportService.GetFlatReportAsync,IUnifiedProjectFlatReportService.GetFlatReportAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectFlatReportDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,GetByProject,api/projectobjectives/by-project/{projectId:int},GET,IProjectObjectiveService.ListByProjectAsync,IUnifiedProjectObjectiveService.ListByProjectAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectObjectiveListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,GetByProjectWithActivities,api/projectobjectives/by-project/{projectId:int}/with-activities,GET,IProjectObjectiveService.GetByProjectWithActivitiesAsync;IProjectObjectiveService.ListByProjectWithActivitiesAsync,IUnifiedProjectObjectiveService.GetByProjectWithActivitiesAsync;IUnifiedProjectObjectiveService.ListByProjectWithActivitiesAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectObjectiveWithActivitiesDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,GetByProjectWithActivitiesByVisit,api/projectobjectives/by-visit/{projectId:int}/{visitId:int}/with-activities,GET,IProjectObjectiveService.ListByProjectWithActivitiesAsync,IUnifiedProjectObjectiveService.ListByProjectWithActivitiesAsync,Int32 projectId default= ;Int32 visitId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<ProjectObjectiveWithActivitiesDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,GetById,api/projectobjectives/{id:int},GET,IProjectObjectiveService.GetByIdAsync,IUnifiedProjectObjectiveService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectObjectiveDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,Create,api/projectobjectives,POST,IProjectObjectiveService.CreateAsync,IUnifiedProjectObjectiveService.CreateAsync,AddProjectObjectiveRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectObjectiveDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,Update,api/projectobjectives/{id:int},PUT,IProjectObjectiveService.UpdateAsync,IUnifiedProjectObjectiveService.UpdateAsync,Int32 id default= ;UpdateProjectObjectiveRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectObjectiveDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectObjectivesController,UnifiedProjectObjectivesController,Delete,api/projectobjectives/{id:int},DELETE,IProjectObjectiveService.DeleteAsync,IUnifiedProjectObjectiveService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<Boolean>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectOriginTypesController,UnifiedProjectOriginTypesController,List,api/projectorigintypes,GET,ICatalogCrudService<TEntity>.ListAsync,IUnifiedCatalogCrudService<TEntity>.ListAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<IReadOnlyList<CatalogListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectOriginTypesController,UnifiedProjectOriginTypesController,GetById,api/projectorigintypes/{id:int},GET,ICatalogCrudService<TEntity>.GetByIdAsync,IUnifiedCatalogCrudService<TEntity>.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectOriginTypesController,UnifiedProjectOriginTypesController,Create,api/projectorigintypes,POST,ICatalogCrudService<TEntity>.CreateAsync,IUnifiedCatalogCrudService<TEntity>.CreateAsync,AddCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectOriginTypesController,UnifiedProjectOriginTypesController,Update,api/projectorigintypes/{id:int},PUT,ICatalogCrudService<TEntity>.UpdateAsync,IUnifiedCatalogCrudService<TEntity>.UpdateAsync,Int32 id default= ;UpdateCatalogRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<CatalogDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectOriginTypesController,UnifiedProjectOriginTypesController,Delete,api/projectorigintypes/{id:int},DELETE,ICatalogCrudService<TEntity>.DeleteAsync,IUnifiedCatalogCrudService<TEntity>.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;",ADAPTABLE
ProjectResearchCategoryController,UnifiedProjectResearchCategoryController,GetByProject,api/projectresearchcategory/project/{projectId:int},GET,IProjectResearchCategoryService.ListAsync,IUnifiedProjectResearchCategoryService.ListAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<ProjectResearchCategoryListItemDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectResearchCategoryController,UnifiedProjectResearchCategoryController,GetById,api/projectresearchcategory/{id:int},GET,IProjectResearchCategoryService.GetByIdAsync,IUnifiedProjectResearchCategoryService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectResearchCategoryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectResearchCategoryController,UnifiedProjectResearchCategoryController,Create,api/projectresearchcategory,POST,IProjectResearchCategoryService.CreateAsync,IUnifiedProjectResearchCategoryService.CreateAsync,AddProjectResearchCategoryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectResearchCategoryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectResearchCategoryController,UnifiedProjectResearchCategoryController,Update,api/projectresearchcategory/{id:int},PUT,IProjectResearchCategoryService.UpdateAsync,IUnifiedProjectResearchCategoryService.UpdateAsync,Int32 id default= ;UpdateProjectResearchCategoryRequestDTO body default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectResearchCategoryDetailDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectResearchCategoryController,UnifiedProjectResearchCategoryController,Delete,api/projectresearchcategory/{id:int},DELETE,IProjectResearchCategoryService.DeleteAsync,IUnifiedProjectResearchCategoryService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=superadmin,policy=,schemes=;",DIRECT
ProjectsController,UnifiedProjectsController,GetAll,api/projects,GET,IProjectService.GetAllAsync,IUnifiedProjectService.GetAllAsync,CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<ProjectListResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=coordinador,technical,admin,superadmin,policy=,schemes=",DIRECT
ProjectsController,UnifiedProjectsController,GetById,api/projects/{id:int},GET,IProjectService.GetByIdAsync,IUnifiedProjectService.GetByIdAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectListResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=coordinador,technical,admin,superadmin,policy=,schemes=",DIRECT
ProjectsController,UnifiedProjectsController,GetByType,api/projects/by-type/{projectTypeId:int},GET,IProjectService.GetByTypeAsync,IUnifiedProjectService.GetByTypeAsync,Int32 projectTypeId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<List<ProjectListResponseDTO>>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=coordinador,technical,admin,superadmin,policy=,schemes=",DIRECT
ProjectsController,UnifiedProjectsController,GetProjectDetail,api/projects/detail/{projectId:int},GET,IProjectService.GetProjectDetailAsync,IUnifiedProjectService.GetProjectDetailAsync,Int32 projectId default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=coordinador,technical,admin,superadmin,policy=,schemes=",DIRECT
ProjectsController,UnifiedProjectsController,Create,api/projects,POST,IProjectService.CreateAsync,IUnifiedProjectService.CreateAsync,AddProjectRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectListResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=technical,admin,superadmin,policy=,schemes=",ADAPTABLE
ProjectsController,UnifiedProjectsController,CreateFull,api/projects/full,POST,IProjectService.CreateFullAsync,IUnifiedProjectService.CreateFullAsync,AddProjectFullRequestDTO request default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<ProjectDetailResponseDTO>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=technical,admin,superadmin,policy=,schemes=",IDENTITY_BOUNDARY
ProjectsController,UnifiedProjectsController,Update,api/projects/{id:int},PUT,IProjectService.UpdateAsync,IUnifiedProjectService.UpdateAsync,Int32 id default= ;UpdateProjectRequestDTO body default= [Microsoft.AspNetCore.Mvc.FromBodyAttribute()];CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=technical,admin,superadmin,policy=,schemes=",DIRECT
ProjectsController,UnifiedProjectsController,Delete,api/projects/{id:int},DELETE,IProjectService.DeleteAsync,IUnifiedProjectService.DeleteAsync,Int32 id default= ;CancellationToken ct default= ,Task<ActionResult<ServiceResult<NoContent>>>,200;400;401;403;404;409;500 (ServiceResult),"roles=,policy=,schemes=;roles=technical,admin,superadmin,policy=,schemes=",DIRECT
