file,old_types,new_types,removed_lines,added_lines,semantic_references
tesisproject.backend/Repositories/Interfaces/IVisitIssueRepository.cs,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.shared.Entities.Core.VisitIssue> ; tesisproject.shared.Entities.Core.VisitIssue,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue> ; tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue,using tesisproject.shared.Entities.Core;,using VisitIssue = tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue;,9
tesisproject.backend/Repositories/Interfaces/IVisitObjectiveActivityProgressRepository.cs,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress> ; tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress> ; tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress,using tesisproject.shared.Entities.Core;,using VisitObjectiveActivityProgress = tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress;,5
tesisproject.backend/Services/Implementations/AppConfigurationRepository.cs,tesisproject.backend.Data.AppDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.shared.Entities.Core.AppConfiguration> ; tesisproject.shared.Entities.Core.AppConfiguration,tesisproject.backend.Data.UnifiedDideDbContext ; tesisproject.backend.Repositories.Implementations.GenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration> ; tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration,"using tesisproject.shared.Entities.Core;
        public AppConfigurationRepository(AppDbContext ctx) : base(ctx) { }","using AppConfiguration = tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration;
        public AppConfigurationRepository(UnifiedDideDbContext ctx) : base(ctx) { }",14
tesisproject.backend/Services/Implementations/ConvocationService.cs,tesisproject.shared.Entities.Core.Convocation ; tesisproject.shared.Entities.Core.ConvocationRule ; tesisproject.shared.Entities.Core.ConvocationRuleIndexing,tesisproject.backend.Data.UnifiedEntities.Core.Convocation ; tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRule ; tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRuleIndexing,using tesisproject.shared.Entities.Core;,"using Convocation = tesisproject.backend.Data.UnifiedEntities.Core.Convocation;
using ConvocationRule = tesisproject.backend.Data.UnifiedEntities.Core.ConvocationRule;",20
tesisproject.backend/Services/Implementations/ExportTemplateService.cs,tesisproject.shared.Entities.Export.ExportField ; tesisproject.shared.Entities.Export.ExportTemplate ; tesisproject.shared.Entities.Export.ExportTemplateColumn,tesisproject.backend.Data.UnifiedEntities.Export.ExportField ; tesisproject.backend.Data.UnifiedEntities.Export.ExportTemplate ; tesisproject.backend.Data.UnifiedEntities.Export.ExportTemplateColumn,using tesisproject.shared.Entities.Export;,using tesisproject.backend.Data.UnifiedEntities.Export;,23
tesisproject.backend/Services/Implementations/ObjectiveActivityService.cs,tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress,tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress,,using VisitObjectiveActivityProgress = tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress;,5
tesisproject.backend/Services/Implementations/ObjectiveActivityUserService.cs,tesisproject.shared.Entities.Core.ObjectiveActivityUser,tesisproject.backend.Data.UnifiedEntities.Core.ObjectiveActivityUser,,using ObjectiveActivityUser = tesisproject.backend.Data.UnifiedEntities.Core.ObjectiveActivityUser;,8
tesisproject.backend/Services/Implementations/ProductAttributeDefinitionService.cs,tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition,tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition,using tesisproject.shared.Entities.Core.Products;,using ProductAttributeDefinition = tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition;,11
tesisproject.backend/Services/Implementations/ProductService.cs,tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition,tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition,,using ProductAttributeDefinition = tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition;,7
tesisproject.backend/Services/Implementations/ProductTypeDesignService.cs,tesisproject.shared.Entities.Core.Products.ProductAttributeDefinition,tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition,,using ProductAttributeDefinition = tesisproject.backend.Data.UnifiedEntities.Core.Products.ProductAttributeDefinition;,9
tesisproject.backend/Services/Implementations/ProjectService.cs,tesisproject.shared.Entities.Core.Convocation,tesisproject.backend.Data.UnifiedEntities.Core.Convocation,,using Convocation = tesisproject.backend.Data.UnifiedEntities.Core.Convocation;,10
tesisproject.backend/Services/Implementations/VisitIssueService.cs,tesisproject.shared.Entities.Core.VisitIssue,tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue,,using VisitIssue = tesisproject.backend.Data.UnifiedEntities.Core.VisitIssue;,7
tesisproject.backend/Services/Implementations/VisitObjectiveActivityProgressService.cs,tesisproject.shared.Entities.Core.VisitObjectiveActivityProgress,tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress,,using VisitObjectiveActivityProgress = tesisproject.backend.Data.UnifiedEntities.Core.VisitObjectiveActivityProgress;,5
tesisproject.backend/Services/Interfaces/IAppConfigurationRepository.cs,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.shared.Entities.Core.AppConfiguration> ; tesisproject.shared.Entities.Core.AppConfiguration,tesisproject.backend.Repositories.Interfaces.IGenericRepository<tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration> ; tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration,using tesisproject.shared.Entities.Core;,using AppConfiguration = tesisproject.backend.Data.UnifiedEntities.Core.AppConfiguration;,7
